text,target
This is a night where I wanna run da streets of Harlem but I can't ,0
Omg hip still hurts! hopefully it will feel better soon ,0
has to wake up soon but can't sleep! work in 4 hours ... ,0
im so not in the mood for work today i dont wanna go ,0
@DexterVonDoom  do You know he just joined Twitter!~ =  @MatthewSantos ...cant wait to hear it...broke till next week ,0
what a boring rainy Sunday ,0
sunday  last day of half term...i finnish skwl totally on may 15th then all hav to do is go on for examz...dreadin results in summer tho!,0
awake with a sick little guy.  ,0
Not feeling good this morning ,0
working on a project due on tuesday!! blaaah ,0
@fourtonmantis frank gave me nightmares ,0
@temposhark Renting movies on iTunes requires one of the newer video enabled iPods. I have one of the early ones that is not compatible ,0
@abilovesjesus I'm sorry.   Hope you get better soon!  Love you!,0
@riversideboy yeeeeehaaa parttty on im gunna tweet later coz my battery is about to die noooo  x x take care,0
Lots of homework to do ,0
@auditiondanny How the hell did that happen?  Poor Danny.,0
In my room. Bored. Need to go to sleep.. ,0
@kanupriyasindhu cold and cough and fever..and still in office ,0
"Lost my Nokia 6233 last evening, in front of my own house! Super stupidity ",0
is thinking how home it would be to still be at nice!! ,0
im in IT ,0
Oh no.. Sudden stomach cramp in heavy traffic.. ,0
@stephenfry I got that tomorrow! ,0
I need a hug. ,0
I am wayyyy too poor  so bad.,0
I feel so far away from everyone! ,0
"VMWare, thy Perl API makes me sad ",0
lauren broke my dvd player ,0
is really bored and  has nothing to do!! ,0
"@galaxico - i have exactly the opposite problem lol boxes of milk, but no cereal ",0
@chiminychanga I can't  I get chills up my spine like imagining biting down on a metal fork and pulling it... Ok yeah I took the cap off.,0
@reatlas  Clean Me!,0
@writeplayrepeat probably wont make it tomorrow due to the fact that I have to go rescue a friend later tonight.... sorry ,0
Called RADIO DISNEY 2day &amp; they ANSWERED! F*ing FINALLY. Requested &quot;I WANNA KNOW YOU&quot; by David Archuleta &amp; Hannah MONTANA. didn't play! ,0
"just fell asleep for 6 hours, what a wonderful way to spend a Friday night. ",0
fire in the south Tower...now i'm stuck in Riddel! ,0
Susan made me a good breakfast and now we're headed downtown to the Opening Ceremony.  Thunderstorms predicted all day. ,0
@ParentStudent Oh!  Well done though!  Did I tell you I had to give up my course this year?  ,0
"Just got DailyBooth, I keep getting told to so I did.. Gah.. Add me or w/e? The names GracieGee.. Dont mock Im new lmao ",0
@arancinibaby eheh yea it's pretty heavy!!  am about 2 fall asleep!,0
@monseur77 u gotta wait till next year ,0
"@MickyFin Ah yes, I think that would be ideal. Sadly, I don't think my budget will stretch that far just yet! ",0
"Working on the final project, course work from early morning, still a lot of stuff need to be done ",0
Another rainy weekend ,0
in bed being taken care of by nurse cat. she's wonderful! watching the sunshine outside wistfully ,0
@nate_robinson sorry you did not get your size ,0
God I wish we had taco bell here in england ,0
@KrisZombiee  sorry u feel that way i wish i can make u feel better...,0
pukebuckets... someone really upset me today. ,0
Why did nobody tell me that American Adventure closed down?! ,0
Jack Kemp passed away  politician from NY but also played in NFL for the bills.,0
@danigirl76 i think iï¿½m gonna send him a msg on myspace. i hope he will reply... @JustMe_Viv yes me too... i hope he really does ,0
bored and with no one to talk to.... ,0
@ taylorgenovese you still going to film tonight? I need a ride  http://twurl.nl/ldoxpk,0
still waiting on my sb6 album/poster to get here ,0
The hardest part of homework is deadline ,0
Lacey doesn't like me anymore cause her bug ,0
"@pmatty ahhhh that's so shit  I don't want it to leave, I love going on the rooft",0
"my whole life ive wanted to be a superhero, you know that? sadly some dreams can never come true ",0
at juan's house. awwww today was our last performance of the musical im sad  someone text me.,0
I really wanna learn how to harmonize by ear ,0
@ChicagoRose @ConnieCuervo  i dont have ichat and the rest of the world does,0
we actually did a 3 day trip; covering around 80 kms a day. But to plan one in May is a bad idea; you get tired real fast ,0
NEEDS to work but WANTS bath ,0
Ugh i'm at school already ,0
im gunna get going now the sooner you start the sonner you finish but i dont think i will finish  bad times love you all update soon x xx,0
@girl2008 he's much better this morning thanks. I use this enzyme stuff on him. Had to stay out last night &amp; he's a bug sissy about that. ,0
